Indication_approved,Indication_approved_extracted,,Indication_requested,Indication_requested_extracted,,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,
,Not Reported,,Reasanz is indicated for the treatment of acute heart failure and to reduce mortality in patients with acute heart failure.,<Heart Failure>,,Novartis Europharm Ltd,Novartis,
"Temporary improvement in the appearance of moderate to severe vertical wrinkles between the eyebrows in adults < 75 years old seen at maximum frown (glabellar frown lines), when the severity of the facial wrinkles has an important psychological impact.",Not Reported,,"Temporary improvement in the appearance of moderate to severe vertical wrinkles between the eyebrows in adults < 75 years old seen at maximum frown (glabellar frown lines), when the severity of the facial wrinkles has an important psychological impact.",<Facial Wrinkles>,,Medius AG,Medius,
,Not Reported,,"Community acquired pneumonia, of mild to moderate severity; Acute Exacerbation of chronic bronchitis; Acute bacterial sinusitis","<Community-Acquired Infections>; <Bronchitis, Chronic>; <Sinusitis>",,Menarini International Operations Luxembourg,Menarini,
Topical treatment of solar (actinic) keratoses in adults,<Actinic Keratosis>,,Topical treatment of solar (actinic) keratoses in adults,<Actinic Keratosis>,,LEO Pharma Pty Ltd,LEO,
Suppression of viremia in chronic hepatitis C patients with or without compensated cirrhosis in combination with Peginterferon Alfa-2a or Sofosbuvir,<Chronic Hepatitis C>; <Liver Cirrhosis>,,Suppression of viremia in chronic hepatitis C patients,<Chronic Hepatitis C>,,"Chugai Pharmaceutical Co., Ltd.",Chugai,
Schizophrenia; Irritability associated with autism spectrum disorder in pediatric patients,<Schizophrenia>; <Autism Spectrum Disorder>,,Schizophrenia; Irritability associated with autistic disorder in pediatric patients,<Schizophrenia>; <Autistic Disorder>,,Janssen Pharmaceutical K.K.,Janssen,
"diagnosis of gastroduodenal Helicobacter pylori infection for the evaluation of eradication regimens, or when invasive tests cannot be performed, or when there are discordant results arising from invasive tests",<Helicobacter Infections>,,diagnosis of gastroduodenal Helicobacter pylori infection,<Helicobacter Infections>,,INFAI GmbH,INFAI,
Routine prophylaxis of bleeding in patients with congenital Factor XIII A-subunit deficiency.,<Factor XIII Deficiency>,,Routine prophylaxis of bleeding in patients with congenital Factor XIII A-subunit deficiency.,<Factor XIII Deficiency>,,Novo Nordisk Pharmaceuticals Pty Ltd,Novo Nordisk,
Treatment of osteoporosis in postmenopausal women at high risk of fracture.,<Osteoporosis>,,Treatment of osteoporosis in postmenopausal women at increased risk of fracture.,<Osteoporosis>,,Labatec Pharma SA,Labatec,
HER2-overexpressing breast cancer; Unresectable advanced or recurrent HER2-overexpressing gastric cancer; Unresectable advanced or recurrent HER2-positive salivary gland carcinoma; Unresectable advanced or recurrent HER2-positive colorectal cancer that has progressed after cancer chemotherapy,<Breast Neoplasms>; <Stomach Neoplasms>; <Salivary Gland Neoplasms>; <Colorectal Neoplasms>,,HER2-overexpressing breast cancer; Unresectable advanced or recurrent HER2-overexpressing gastric cancer; Unresectable advanced or recurrent HER2-overexpressing colorectal cancer,<Breast Neoplasms>; <Stomach Neoplasms>; <Colorectal Neoplasms>,,"Chugai Pharmaceutical Co., Ltd.",Chugai,
Treatment of vitreomacular traction (VMT) including when associated with macular hole of diameter less than or equal to 400 microns,<Vitreomacular Traction Syndrome>; <Macular Hole>,,Treatment of symptomatic vitreomacular adhesion (sVMA) including those associated with macular hole in adults,<Vitreomacular Adhesion>; <Macular Hole>,,Alcon Laboratories Australia Pty Ltd,Alcon,
"Treatment of active psoriatic arthritis in adult patients who have responded inadequately, or who are intolerant, to previous DMARD therapy.","<Arthritis, Psoriatic>",,"Treatment of active psoriatic arthritis in adult patients who have responded inadequately, or who are intolerant, to previous DMARD therapy.","<Arthritis, Psoriatic>",,Eli Lilly Australia Pty Ltd,Eli Lilly,
Treatment of postmenopausal osteoporosis to reduce the risk of vertebral and hip fractures,"<Osteoporosis, Postmenopausal>",,Treatment of postmenopausal osteoporosis to reduce the risk of vertebral and hip fractures,"<Osteoporosis, Postmenopausal>",,Not reported,Not Reported,
"Treatment of severe combined immunodeficiency due to adenosine deaminase deficiency (ADA-SCID), for whom no suitable human leukocyte antigen (HLA)-matched related stem cell donor is available.",<Severe Combined Immunodeficiency>,,"Treatment of severe combined immunodeficiency due to adenosine deaminase deficiency (ADA-SCID), for whom no suitable human leukocyte antigen (HLA)-matched related stem cell donor is available.",<Severe Combined Immunodeficiency>,,GlaxoSmithKline Trading Services,GlaxoSmithKline,
Treatment of adult patients with multicentric Castleman’s disease (MCD) who are human immunodeficiency virus (HIV) negative and human herpesvirus-8 (HHV-8) negative.,<Castleman Disease>,,Treatment of patients with multicentric Castleman’s disease (MCD) who are human immunodeficiency virus (HIV)-negative and human herpesvirus-8 (HHV-8)-negative.,<Castleman Disease>,,Janssen-Cilag International NV,Janssen-Cilag,
"Treatment of coronavirus disease 2019 (COVID-19) in adults and adolescents (aged 12 years and older with body weight at least 40 kg) with pneumonia who may or may not be receiving supplemental oxygen or ventilatory support, or who are receiving supplemental oxygen or ventilatory support.",<Coronavirus Infections>; <Pneumonia>,,"Treatment of coronavirus disease 2019 (COVID-19) in adults and adolescents (aged 12 years and older with body weight at least 40 kg) with pneumonia who may or may not be receiving supplemental oxygen or ventilatory support, or who are receiving supplemental oxygen or ventilatory support.",<Coronavirus Infections>; <Pneumonia>,,Gilead Sciences Ireland UC,Gilead,
Filspari is indicated for the treatment of adults with primary immunoglobulin A nephropathy (IgAN) with a urinary protein excretion of ≥1.0 g/day (or a urinary protein/creatinine quotient of ≥0.75 g/g),<Immunoglobulin A Nephropathy>,,Filspari is indicated for the treatment of adults with primary immunoglobulin A nephropathy (IgAN) with a urinary protein excretion > 1.0 g/day (or a urinary protein-to-creatinine ratio ≥ 0.75 g/g,<Immunoglobulin A Nephropathy>,,Vifor (International) Inc.,Vifor,
"VidPrevtyn Beta is indicated for active immunisation to prevent COVID-19 caused by SARS-CoV-2, in individuals 18 years of age and older previously vaccinated against COVID-19.",<COVID-19>,,"VidPrevtyn Beta is indicated for active immunisation to prevent COVID-19 caused by SARS-CoV-2, in individuals 18 years of age and older previously vaccinated against COVID-19.",<COVID-19>,,Sanofi Pasteur,Sanofi,
"LIVTENCITY is indicated for the treatment of cytomegalovirus (CMV) infection and/or disease that are refractory (with or without resistance) to one or more prior therapies, including ganciclovir, valganciclovir, cidofovir, or foscarnet in adult patients who have undergone a haematopoietic stem cell transplant (HSCT) or solid organ transplant (SOT).",<Cytomegalovirus Infections>,,"LIVTENCITY is indicated for the treatment of cytomegalovirus (CMV) infection and/or disease that are refractory (with or without resistance) to one or more prior therapies, including ganciclovir, valganciclovir, cidofovir, or foscarnet in adult patients who have undergone a haematopoietic stem cell transplant (HSCT) or solid organ transplant (SOT).",<Cytomegalovirus Infections>,,Takeda Pharma AG,Takeda,
Treatment of adult patients with histologically proven chronic hepatitis C who have elevated transaminases without liver decompensation and who are positive for serum HCV-RNA or anti-HCV.,<Chronic Hepatitis C>,,Treatment of adult patients with histologically proven chronic hepatitis C who have elevated transaminases without liver decompensation and who are positive for serum HCV-RNA or anti-HCV.,<Chronic Hepatitis C>,,Not reported,Not Reported,
"Prevention of atherothrombotic events in adults with myocardial infarction, ischaemic stroke, or established peripheral arterial disease.",<Myocardial Infarction>; <Ischemic Stroke>; <Peripheral Arterial Disease>,,"Prevention of atherothrombotic events in adults with myocardial infarction, ischaemic stroke, or established peripheral arterial disease.",<Myocardial Infarction>; <Ischemic Stroke>; <Peripheral Arterial Disease>,,Norpharm Regulatory Services Ltd,Norpharm,
"Prophylaxis of influenza in adults up to 59 years of age, especially in those who run an increased risk of associated complications. Prophylaxis of influenza in individuals 60 years of age and over, especially in those who run an increased risk of associated complications.",<Influenza>,,"Prophylaxis of influenza in adults up to 59 years of age, especially in those who run an increased risk of associated complications. Prophylaxis of influenza in individuals 60 years of age and over, especially in those who run an increased risk of associated complications.",<Influenza>,,Sanofi Pasteur SA,Sanofi,
HER2-positive inoperable or recurrent breast cancer,<Breast Neoplasms>,,HER2-positive inoperable or recurrent breast cancer,<Breast Neoplasms>,,"Chugai Pharmaceutical Co., Ltd.",Chugai,
